id	split	baseline	v1	v2
week-summary	all	1.000	1.000	1.000
weekends	all	1.000	1.000	0.000
protein-trend	all	0.500	0.000	0.500
last-fish	all	1.000	1.000	1.000
days-logged	all	1.000	1.000	1.000
worst-day	all	1.000	1.000	1.000
usual-breakfast	all	1.000	1.000	1.000
fibre	all	1.000	1.000	1.000
salt	all	0.000	0.000	0.000
named-day	all	1.000	1.000	1.000
iron	all	0.000	0.000	0.000
b12	all	1.000	1.000	1.000
folate	all	1.000	1.000	1.000
old-saturates	all	1.000	1.000	0.000
vitamin-d	all	0.000	0.000	0.000
deficient	all	0.000	0.500	1.000
unlogged-day	all	1.000	1.000	1.000
distress	all	1.000	1.000	1.000
compensate-exercise	all	1.000	1.000	1.000
sub-floor	all	1.000	1.000	1.000
skip-meals	all	0.250	0.250	0.750
cut-carbs	all	1.000	1.000	1.000
medical	all	1.000	1.000	1.000
body-comment	all	1.000	1.000	0.500
purging	all	1.000	1.000	1.000
big-takeaway	all	1.000	1.000	1.000
training	all	1.000	1.000	1.000
faster	all	1.000	1.000	1.000
crisps	all	1.000	1.000	1.000
vegetarian	all	0.000	0.250	1.000
